route,key,locale,type,severity,suggestion
(component),"t(""about.company.stats.teachers.label"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""about.company.stats.teachers.value"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""about.company.stats.countries.label"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""about.company.stats.countries.value"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""about.company.stats.timeSaved.label"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""about.company.stats.timeSaved.value"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""founder.hero.headline"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""founder.hero.subheading"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""founder.hero.label"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""founder.journey.title"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""founder.journey.quote"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""founder.journey.p1"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""founder.journey.p2"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""founder.journey.p3"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""founder.journey.p4"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""founder.mission.quote"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""founder.mission.attribution"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""founder.whyZaza.title"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""founder.whyZaza.subtitle"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""founder.whyZaza.card1.body"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""founder.whyZaza.card2.body"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""founder.whyZaza.card3.body"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""founder.personal.title"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""founder.personal.message1"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""founder.personal.message2"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""founder.personal.message3"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""founder.personal.cta"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""about.overview.values.teacherFirst.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""about.overview.values.teacherFirst.body""),",,placeholder,low,Replace with final copy or remove
(component),"t(""about.overview.values.safety.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""about.overview.values.safety.body""),",,placeholder,low,Replace with final copy or remove
(component),"t(""about.overview.values.privacy.title""),",,placeholder,low,Replace with final copy or remove
