route,key,locale,type,severity,suggestion
/contact,contact.title,en,missing_key,medium,Add EN translation
/contact,contact.title,de,missing_key,medium,Add DE translation
/contact,contact.subtitle,en,missing_key,medium,Add EN translation
/contact,contact.subtitle,de,missing_key,medium,Add DE translation
/contact,contact.form.success,en,missing_key,medium,Add EN translation
/contact,contact.form.success,de,missing_key,medium,Add DE translation
/contact,contact.form.name,en,missing_key,medium,Add EN translation
/contact,contact.form.name,de,missing_key,medium,Add DE translation
/contact,contact.form.email,en,missing_key,medium,Add EN translation
/contact,contact.form.email,de,missing_key,medium,Add DE translation
/contact,contact.form.message,en,missing_key,medium,Add EN translation
/contact,contact.form.message,de,missing_key,medium,Add DE translation
/contact,contact.form.placeholder,en,missing_key,medium,Add EN translation
/contact,contact.form.placeholder,de,missing_key,medium,Add DE translation
/contact,contact.form.error,en,missing_key,medium,Add EN translation
/contact,contact.form.error,de,missing_key,medium,Add DE translation
/contact,contact.form.sending,en,missing_key,medium,Add EN translation
/contact,contact.form.sending,de,missing_key,medium,Add DE translation
/contact,contact.form.submit,en,missing_key,medium,Add EN translation
/contact,contact.form.submit,de,missing_key,medium,Add DE translation
/contact,contact.form.dataNote,en,missing_key,medium,Add EN translation
/contact,contact.form.dataNote,de,missing_key,medium,Add DE translation
/contact,contact.direct.title,en,missing_key,medium,Add EN translation
/contact,contact.direct.title,de,missing_key,medium,Add DE translation
/contact,contact.direct.email,en,missing_key,medium,Add EN translation
/contact,contact.direct.email,de,missing_key,medium,Add DE translation
/contact,contact.direct.response,en,missing_key,medium,Add EN translation
/contact,contact.direct.response,de,missing_key,medium,Add DE translation
/contact,contact.help.title,en,missing_key,medium,Add EN translation
/contact,contact.help.title,de,missing_key,medium,Add DE translation
/contact,contact.help.description,en,missing_key,medium,Add EN translation
/contact,contact.help.description,de,missing_key,medium,Add DE translation
/contact,contact.help.faq,en,missing_key,medium,Add EN translation
/contact,contact.help.faq,de,missing_key,medium,Add DE translation
/contact,contact.help.support,en,missing_key,medium,Add EN translation
/contact,contact.help.support,de,missing_key,medium,Add DE translation
/legal/terms,legal.terms.title,en,missing_key,medium,Add EN translation
/legal/terms,legal.terms.title,de,missing_key,medium,Add DE translation
/legal/terms,legal.terms.lastUpdated,en,missing_key,medium,Add EN translation
/legal/terms,legal.terms.lastUpdated,de,missing_key,medium,Add DE translation
/legal/terms,legal.terms.s1.title,en,missing_key,medium,Add EN translation
/legal/terms,legal.terms.s1.title,de,missing_key,medium,Add DE translation
/legal/terms,legal.terms.s1.p1,en,missing_key,medium,Add EN translation
/legal/terms,legal.terms.s1.p1,de,missing_key,medium,Add DE translation
/legal/terms,legal.terms.s2.title,en,missing_key,medium,Add EN translation
/legal/terms,legal.terms.s2.title,de,missing_key,medium,Add DE translation
