Namespace,Key,Status
"(unknown)","nav.about","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.company.hero.eyebrow","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.company.hero.title","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.company.hero.subtitle","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.company.body.p1","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.company.body.p2","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.company.body.p3","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.company.stats.teachers.label","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.company.stats.teachers.value","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.company.stats.countries.label","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.company.stats.countries.value","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.company.stats.timeSaved.label","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.company.stats.timeSaved.value","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.hero.headline","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.hero.subheading","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.hero.label","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.hero.name","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.hero.tagline","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.journey.title","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.journey.quote","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.journey.p1","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.journey.p2","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.journey.p3","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.journey.p4","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.mission.quote","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.mission.attribution","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.whyZaza.title","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.whyZaza.subtitle","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.whyZaza.card1.title","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.whyZaza.card1.body","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.whyZaza.card2.title","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.whyZaza.card2.body","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.whyZaza.card3.title","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.whyZaza.card3.body","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.personal.title","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.personal.message1","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.personal.message2","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.personal.message3","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.personal.name","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.personal.title2","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.personal.company","USED_IN_CODE_BUT_MISSING"
"(unknown)","founder.personal.cta","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.overview.values.teacherFirst.title","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.overview.values.teacherFirst.body","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.overview.values.safety.title","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.overview.values.safety.body","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.overview.values.privacy.title","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.overview.values.privacy.body","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.overview.values.evidence.title","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.overview.values.evidence.body","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.overview.timeline.2023.title","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.overview.timeline.2023.body","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.overview.timeline.2024.title","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.overview.timeline.2024.body","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.overview.timeline.2025.title","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.overview.timeline.2025.body","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.overview.hero.eyebrow","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.overview.hero.title","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.overview.hero.subtitle","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.overview.mission.title","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.overview.mission.body","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.overview.values.title","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.overview.timeline.title","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.overview.cta.title","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.overview.cta.body","USED_IN_CODE_BUT_MISSING"
"(unknown)","about.overview.cta.button","USED_IN_CODE_BUT_MISSING"
"(unknown)","openSignupModal","USED_IN_CODE_BUT_MISSING"
"(unknown)"," ","USED_IN_CODE_BUT_MISSING"
"(unknown)","-","USED_IN_CODE_BUT_MISSING"
"(unknown)","\n\n","USED_IN_CODE_BUT_MISSING"
"(unknown)","community.hero.badge","USED_IN_CODE_BUT_MISSING"
"(unknown)","community.hero.titlePrefix","USED_IN_CODE_BUT_MISSING"
"(unknown)","community.hero.titleHighlight","USED_IN_CODE_BUT_MISSING"
"(unknown)","community.hero.subtitle","USED_IN_CODE_BUT_MISSING"
"(unknown)","community.search.placeholder","USED_IN_CODE_BUT_MISSING"
"(unknown)","community.stats.members","USED_IN_CODE_BUT_MISSING"
"(unknown)","community.stats.discussions","USED_IN_CODE_BUT_MISSING"
"(unknown)","community.stats.posts","USED_IN_CODE_BUT_MISSING"
"(unknown)","community.stats.active","USED_IN_CODE_BUT_MISSING"
"(unknown)","community.guidelines.title","USED_IN_CODE_BUT_MISSING"
"(unknown)","community.guidelines.li1","USED_IN_CODE_BUT_MISSING"
"(unknown)","community.guidelines.li2","USED_IN_CODE_BUT_MISSING"
"(unknown)","community.guidelines.li3","USED_IN_CODE_BUT_MISSING"
"(unknown)","community.guidelines.li4","USED_IN_CODE_BUT_MISSING"
"(unknown)","community.guidelines.read","USED_IN_CODE_BUT_MISSING"
"(unknown)","community.related.title","USED_IN_CODE_BUT_MISSING"
